104.20.53.44:443#🇩🇪 法兰克福(FRA)-7.62MB/s
172.67.163.222:443#🇺🇸 西雅图(SEA)-6.72MB/s
172.67.74.149:443#🇺🇸 西雅图(SEA)-6.72MB/s
172.67.161.250:443#🇺🇸 西雅图(SEA)-6.71MB/s
103.31.4.84:443#🇺🇸 华盛顿杜勒斯(IAD)-6.70MB/s
172.67.76.112:443#🇺🇸 西雅图(SEA)-6.70MB/s
172.67.168.125:443#🇺🇸 西雅图(SEA)-6.69MB/s
104.17.239.96:443#🇺🇸 西雅图(SEA)-6.68MB/s
172.67.163.82:443#🇺🇸 西雅图(SEA)-6.68MB/s
104.26.5.183:443#🇺🇸 西雅图(SEA)-6.66MB/s
104.17.248.70:443#🇺🇸 西雅图(SEA)-6.66MB/s
103.31.4.52:443#🇺🇸 华盛顿杜勒斯(IAD)-6.64MB/s
104.25.48.174:443#🇺🇸 洛杉矶(LAX)-6.63MB/s
172.67.211.198:443#🇺🇸 圣何塞(SJC)-6.63MB/s
104.17.232.57:443#🇺🇸 西雅图(SEA)-6.63MB/s
103.31.4.210:443#🇺🇸 华盛顿杜勒斯(IAD)-6.62MB/s
104.21.34.78:443#🇺🇸 圣何塞(SJC)-6.61MB/s
104.16.76.131:443#🇺🇸 洛杉矶(LAX)-6.60MB/s
104.21.22.175:443#🇺🇸 西雅图(SEA)-6.60MB/s
103.31.4.104:443#🇺🇸 华盛顿杜勒斯(IAD)-6.59MB/s
172.67.154.40:443#🇺🇸 西雅图(SEA)-6.58MB/s
172.67.157.94:443#🇺🇸 西雅图(SEA)-6.57MB/s
172.67.208.251:443#🇺🇸 圣何塞(SJC)-6.56MB/s
172.67.165.153:443#🇺🇸 西雅图(SEA)-6.54MB/s
103.31.4.250:443#🇺🇸 华盛顿杜勒斯(IAD)-6.51MB/s
103.31.4.15:443#🇺🇸 华盛顿杜勒斯(IAD)-6.50MB/s
104.17.135.123:443#🇺🇸 圣何塞(SJC)-6.50MB/s
103.31.4.0:443#🇺🇸 丹佛(DEN)-6.47MB/s
162.159.237.160:443#🇺🇸 圣何塞(SJC)-6.47MB/s
103.31.4.206:443#🇺🇸 丹佛(DEN)-6.46MB/s
103.31.4.112:443#🇺🇸 华盛顿杜勒斯(IAD)-6.45MB/s
103.31.4.96:443#🇺🇸 华盛顿杜勒斯(IAD)-6.42MB/s
103.31.4.248:443#🇺🇸 丹佛(DEN)-6.41MB/s
103.31.4.200:443#🇺🇸 丹佛(DEN)-6.37MB/s
104.21.82.41:443#🇺🇸 圣何塞(SJC)-6.37MB/s
103.31.4.125:443#🇺🇸 华盛顿杜勒斯(IAD)-6.34MB/s
103.31.4.149:443#🇺🇸 华盛顿杜勒斯(IAD)-6.32MB/s
103.31.4.83:443#🇺🇸 丹佛(DEN)-6.31MB/s
104.18.7.17:443#🇺🇸 西雅图(SEA)-6.31MB/s
162.159.234.56:443#🇺🇸 丹佛(DEN)-6.30MB/s
103.31.4.213:443#🇺🇸 华盛顿杜勒斯(IAD)-6.28MB/s
103.31.4.231:443#🇺🇸 丹佛(DEN)-6.24MB/s
104.21.89.167:443#🇺🇸 圣何塞(SJC)-6.20MB/s
104.26.5.16:443#🇺🇸 西雅图(SEA)-6.17MB/s
103.31.4.75:443#🇺🇸 华盛顿杜勒斯(IAD)-6.17MB/s
104.24.149.174:443#🇺🇸 洛杉矶(LAX)-6.16MB/s
162.159.237.130:443#🇺🇸 圣何塞(SJC)-6.16MB/s
172.67.172.145:443#🇺🇸 西雅图(SEA)-6.14MB/s
103.31.4.176:443#🇺🇸 丹佛(DEN)-6.13MB/s
172.67.159.19:443#🇺🇸 西雅图(SEA)-6.11MB/s
103.31.4.223:443#🇺🇸 华盛顿杜勒斯(IAD)-6.11MB/s
172.67.211.83:443#🇺🇸 圣何塞(SJC)-6.11MB/s
104.21.32.185:443#🇺🇸 圣何塞(SJC)-6.10MB/s
104.21.72.35:443#🇺🇸 圣何塞(SJC)-6.10MB/s
172.66.45.247:443#🇺🇸 西雅图(SEA)-6.09MB/s
104.17.236.127:443#🇺🇸 西雅图(SEA)-6.07MB/s
103.31.4.183:443#🇺🇸 丹佛(DEN)-6.07MB/s
103.31.4.238:443#🇺🇸 华盛顿杜勒斯(IAD)-6.06MB/s
103.31.4.158:443#🇺🇸 丹佛(DEN)-6.05MB/s
103.31.4.242:443#🇺🇸 丹佛(DEN)-6.04MB/s
198.41.219.233:443#🇺🇸 圣何塞(SJC)-6.02MB/s
104.21.41.176:443#🇺🇸 圣何塞(SJC)-6.02MB/s
172.67.213.224:443#🇺🇸 圣何塞(SJC)-6.01MB/s
103.31.4.116:443#🇺🇸 丹佛(DEN)-6.00MB/s
172.66.45.151:443#🇺🇸 西雅图(SEA)-5.99MB/s
103.31.4.26:443#🇺🇸 丹佛(DEN)-5.99MB/s
103.31.4.63:443#🇺🇸 华盛顿杜勒斯(IAD)-5.98MB/s
172.67.119.203:443#🇺🇸 洛杉矶(LAX)-5.96MB/s
198.41.219.102:443#🇺🇸 圣何塞(SJC)-5.95MB/s
103.31.4.214:443#🇺🇸 华盛顿杜勒斯(IAD)-5.93MB/s
198.41.219.23:443#🇺🇸 圣何塞(SJC)-5.92MB/s
103.31.4.123:443#🇺🇸 华盛顿杜勒斯(IAD)-5.91MB/s
104.21.41.152:443#🇺🇸 圣何塞(SJC)-5.88MB/s
103.31.4.146:443#🇺🇸 丹佛(DEN)-5.86MB/s
104.21.95.202:443#🇺🇸 圣何塞(SJC)-5.85MB/s
103.31.4.157:443#🇺🇸 华盛顿杜勒斯(IAD)-5.84MB/s
104.21.78.227:443#🇺🇸 圣何塞(SJC)-5.84MB/s
103.31.4.127:443#🇺🇸 华盛顿杜勒斯(IAD)-5.81MB/s
103.31.4.175:443#🇺🇸 丹佛(DEN)-5.79MB/s
104.17.251.82:443#🇺🇸 西雅图(SEA)-5.79MB/s
198.41.219.207:443#🇺🇸 圣何塞(SJC)-5.78MB/s
103.31.4.227:443#🇺🇸 华盛顿杜勒斯(IAD)-5.77MB/s
103.31.4.1:443#🇺🇸 丹佛(DEN)-5.77MB/s
162.159.234.224:443#🇺🇸 华盛顿杜勒斯(IAD)-5.76MB/s
103.31.4.233:443#🇺🇸 华盛顿杜勒斯(IAD)-5.75MB/s
103.31.4.37:443#🇺🇸 华盛顿杜勒斯(IAD)-5.67MB/s
103.31.4.180:443#🇺🇸 丹佛(DEN)-5.66MB/s
103.31.4.59:443#🇺🇸 华盛顿杜勒斯(IAD)-5.63MB/s
172.64.234.52:443#🇺🇸 丹佛(DEN)-5.62MB/s
172.67.169.159:443#🇺🇸 西雅图(SEA)-5.61MB/s
104.21.88.132:443#🇺🇸 圣何塞(SJC)-5.57MB/s
103.31.4.28:443#🇺🇸 丹佛(DEN)-5.56MB/s
172.64.234.240:443#🇺🇸 丹佛(DEN)-5.56MB/s
103.31.4.235:443#🇺🇸 丹佛(DEN)-5.55MB/s
103.31.4.7:443#🇺🇸 华盛顿杜勒斯(IAD)-5.51MB/s
104.17.244.150:443#🇺🇸 西雅图(SEA)-5.49MB/s
198.41.192.124:443#🇺🇸 洛杉矶(LAX)-5.47MB/s
103.31.4.135:443#🇺🇸 丹佛(DEN)-5.46MB/s
103.31.4.147:443#🇺🇸 丹佛(DEN)-5.41MB/s
198.41.219.57:443#🇺🇸 圣何塞(SJC)-5.40MB/s
103.31.4.119:443#🇺🇸 华盛顿杜勒斯(IAD)-5.40MB/s
162.159.234.92:443#🇺🇸 丹佛(DEN)-5.39MB/s
103.31.4.159:443#🇺🇸 华盛顿杜勒斯(IAD)-5.34MB/s
103.31.4.129:443#🇺🇸 丹佛(DEN)-5.32MB/s
172.67.163.213:443#🇺🇸 西雅图(SEA)-5.32MB/s
172.67.165.228:443#🇺🇸 西雅图(SEA)-5.29MB/s
104.26.13.9:443#🇺🇸 西雅图(SEA)-5.29MB/s
103.31.4.222:443#🇺🇸 丹佛(DEN)-5.28MB/s
103.31.4.171:443#🇺🇸 丹佛(DEN)-5.28MB/s
103.31.4.99:443#🇺🇸 丹佛(DEN)-5.27MB/s
103.31.4.81:443#🇺🇸 华盛顿杜勒斯(IAD)-5.25MB/s
103.31.4.209:443#🇺🇸 华盛顿杜勒斯(IAD)-5.25MB/s
198.41.219.37:443#🇺🇸 圣何塞(SJC)-5.25MB/s
103.31.4.247:443#🇺🇸 丹佛(DEN)-5.24MB/s
162.159.234.213:443#🇺🇸 丹佛(DEN)-5.23MB/s
104.24.40.10:443#🇺🇸 洛杉矶(LAX)-5.23MB/s
103.31.4.139:443#🇺🇸 丹佛(DEN)-5.23MB/s
103.31.4.168:443#🇺🇸 华盛顿杜勒斯(IAD)-5.19MB/s
103.31.4.90:443#🇺🇸 华盛顿杜勒斯(IAD)-5.18MB/s
104.17.255.40:443#🇺🇸 西雅图(SEA)-5.18MB/s
188.114.99.171:443#🇺🇸 洛杉矶(LAX)-5.17MB/s
103.31.4.23:443#🇺🇸 丹佛(DEN)-5.16MB/s
103.31.4.156:443#🇺🇸 丹佛(DEN)-5.13MB/s
104.19.131.245:443#🇺🇸 洛杉矶(LAX)-5.12MB/s
104.19.133.19:443#🇺🇸 洛杉矶(LAX)-5.11MB/s
103.31.4.126:443#🇺🇸 华盛顿杜勒斯(IAD)-5.10MB/s
103.31.4.39:443#🇺🇸 丹佛(DEN)-5.09MB/s
103.31.4.8:443#🇺🇸 丹佛(DEN)-5.09MB/s
103.31.4.172:443#🇺🇸 华盛顿杜勒斯(IAD)-5.07MB/s
103.31.4.179:443#🇺🇸 华盛顿杜勒斯(IAD)-5.05MB/s
104.19.240.67:443#🇺🇸 洛杉矶(LAX)-5.04MB/s
103.31.4.102:443#🇺🇸 华盛顿杜勒斯(IAD)-5.04MB/s
162.159.224.197:443#🇺🇸 丹佛(DEN)-5.03MB/s
103.31.4.150:443#🇺🇸 丹佛(DEN)-5.02MB/s
104.21.79.181:443#🇺🇸 圣何塞(SJC)-5.02MB/s
103.31.4.80:443#🇺🇸 华盛顿杜勒斯(IAD)-5.00MB/s
103.31.4.78:443#🇺🇸 丹佛(DEN)-5.00MB/s
103.31.4.27:443#🇺🇸 丹佛(DEN)-4.96MB/s
103.31.4.196:443#🇺🇸 丹佛(DEN)-4.90MB/s
198.41.219.168:443#🇺🇸 圣何塞(SJC)-4.89MB/s
162.159.224.241:443#🇺🇸 华盛顿杜勒斯(IAD)-4.85MB/s
103.31.4.40:443#🇺🇸 华盛顿杜勒斯(IAD)-4.83MB/s
103.31.4.144:443#🇺🇸 丹佛(DEN)-4.83MB/s
103.31.4.202:443#🇺🇸 华盛顿杜勒斯(IAD)-4.81MB/s
103.31.4.17:443#🇺🇸 丹佛(DEN)-4.80MB/s
103.31.4.178:443#🇺🇸 丹佛(DEN)-4.80MB/s
162.159.234.181:443#🇺🇸 丹佛(DEN)-4.78MB/s
104.24.181.141:443#🇺🇸 洛杉矶(LAX)-4.78MB/s
103.31.4.218:443#🇺🇸 丹佛(DEN)-4.78MB/s
103.31.4.2:443#🇺🇸 丹佛(DEN)-4.78MB/s
103.31.4.136:443#🇺🇸 华盛顿杜勒斯(IAD)-4.78MB/s
103.31.4.3:443#🇺🇸 华盛顿杜勒斯(IAD)-4.74MB/s
103.31.4.166:443#🇺🇸 华盛顿杜勒斯(IAD)-4.74MB/s
103.31.4.167:443#🇺🇸 华盛顿杜勒斯(IAD)-4.72MB/s
103.31.4.240:443#🇺🇸 丹佛(DEN)-4.71MB/s
103.31.4.212:443#🇺🇸 华盛顿杜勒斯(IAD)-4.70MB/s
103.21.244.25:443#🇺🇸 洛杉矶(LAX)-4.70MB/s
103.31.4.11:443#🇺🇸 华盛顿杜勒斯(IAD)-4.69MB/s
103.31.4.32:443#🇺🇸 华盛顿杜勒斯(IAD)-4.69MB/s
108.162.195.101:443#🇺🇸 洛杉矶(LAX)-4.68MB/s
103.21.244.174:443#🇺🇸 洛杉矶(LAX)-4.67MB/s
104.21.214.198:443#🇺🇸 洛杉矶(LAX)-4.67MB/s
198.41.219.159:443#🇺🇸 圣何塞(SJC)-4.67MB/s
104.21.88.181:443#🇺🇸 圣何塞(SJC)-4.67MB/s
103.31.4.30:443#🇺🇸 丹佛(DEN)-4.65MB/s
103.31.4.152:443#🇺🇸 华盛顿杜勒斯(IAD)-4.64MB/s
141.101.123.113:443#🇺🇸 洛杉矶(LAX)-4.63MB/s
103.31.4.53:443#🇺🇸 丹佛(DEN)-4.62MB/s
103.31.4.182:443#🇺🇸 丹佛(DEN)-4.60MB/s
188.114.96.197:443#🇺🇸 洛杉矶(LAX)-4.57MB/s
104.17.240.43:443#🇺🇸 西雅图(SEA)-4.57MB/s
103.31.4.193:443#🇺🇸 华盛顿杜勒斯(IAD)-4.56MB/s
172.67.220.158:443#🇺🇸 圣何塞(SJC)-4.54MB/s
104.21.18.178:443#🇺🇸 西雅图(SEA)-4.52MB/s
190.93.247.169:443#🇺🇸 洛杉矶(LAX)-4.46MB/s
103.31.4.117:443#🇺🇸 丹佛(DEN)-4.46MB/s
104.21.32.143:443#🇺🇸 圣何塞(SJC)-4.46MB/s
104.17.44.98:443#🇺🇸 洛杉矶(LAX)-4.44MB/s
103.31.4.253:443#🇺🇸 华盛顿杜勒斯(IAD)-4.42MB/s
190.93.245.18:443#🇺🇸 洛杉矶(LAX)-4.40MB/s
104.19.131.141:443#🇺🇸 洛杉矶(LAX)-4.39MB/s
198.41.219.144:443#🇺🇸 圣何塞(SJC)-4.38MB/s
188.114.99.250:443#🇺🇸 洛杉矶(LAX)-4.37MB/s
162.159.234.73:443#🇺🇸 丹佛(DEN)-4.37MB/s
104.24.224.101:443#🇺🇸 洛杉矶(LAX)-4.35MB/s
104.26.9.20:443#🇺🇸 西雅图(SEA)-4.32MB/s
104.17.10.78:443#🇺🇸 洛杉矶(LAX)-4.31MB/s
104.21.42.38:443#🇺🇸 圣何塞(SJC)-4.27MB/s
103.31.4.55:443#🇺🇸 丹佛(DEN)-4.26MB/s
104.19.129.6:443#🇺🇸 圣何塞(SJC)-4.26MB/s
104.25.182.227:443#🇺🇸 洛杉矶(LAX)-4.25MB/s
103.31.4.128:443#🇺🇸 丹佛(DEN)-4.22MB/s
103.31.4.86:443#🇺🇸 华盛顿杜勒斯(IAD)-4.21MB/s
103.31.4.111:443#🇺🇸 华盛顿杜勒斯(IAD)-4.20MB/s
162.159.234.126:443#🇺🇸 华盛顿杜勒斯(IAD)-4.17MB/s
104.16.179.99:443#🇺🇸 洛杉矶(LAX)-4.14MB/s
104.25.187.125:443#🇺🇸 洛杉矶(LAX)-4.13MB/s
103.31.4.46:443#🇺🇸 丹佛(DEN)-4.11MB/s
103.31.4.239:443#🇺🇸 华盛顿杜勒斯(IAD)-4.05MB/s
198.41.219.242:443#🇺🇸 圣何塞(SJC)-4.05MB/s
